doi,unstructCitation1,unstructDOI1,unstructCitation2,unstructDOI2,unstructCitation3,unstructDOI3,unstructCitation4,unstructDOI4,unstructCitation5,unstructDOI5,unstructCitation6,unstructDOI6,unstructCitation7,unstructDOI7,unstructCitation8,unstructDOI8,unstructCitation9,unstructDOI9,unstructCitation10,unstructDOI10,unstructCitation11,unstructDOI11,unstructCitation12,unstructDOI12,unstructCitation13,unstructDOI13,unstructCitation14,unstructDOI14,unstructCitation15,unstructDOI15,unstructCitation16,unstructDOI16,unstructCitation17,unstructDOI17,unstructCitation18,unstructDOI18,unstructCitation19,unstructDOI19,unstructCitation20,unstructDOI20,unstructCitation21,unstructDOI21,unstructCitation22,unstructDOI22,unstructCitation23,unstructDOI23,unstructCitation24,unstructDOI24,unstructCitation25,unstructDOI25,unstructCitation26,unstructDOI26,unstructCitation27,unstructDOI27,unstructCitation28,unstructDOI28,unstructCitation29,unstructDOI29,unstructCitation30,unstructDOI30,unstructCitation31,unstructDOI31,unstructCitation32,unstructDOI32,unstructCitation33,unstructDOI33,unstructCitation34,unstructDOI34,unstructCitation35,unstructDOI35,unstructCitation36,unstructDOI36,unstructCitation37,unstructDOI37,unstructCitation38,unstructDOI38,unstructCitation39,unstructDOI39,unstructCitation40,unstructDOI40,unstructCitation41,unstructDOI41,unstructCitation42,unstructDOI42,unstructCitation43,unstructDOI43,unstructCitation44,unstructDOI44,unstructCitation45,unstructDOI45,unstructCitation46,unstructDOI46,unstructCitation47,unstructDOI47,unstructCitation48,unstructDOI48,unstructCitation49,unstructDOI49,unstructCitation50,unstructDOI50,unstructCitation51,unstructDOI51,unstructCitation52,unstructDOI52,unstructCitation53,unstructDOI53,unstructCitation54,unstructDOI54,unstructCitation55,unstructDOI55,unstructCitation56,unstructDOI56,unstructCitation57,unstructDOI57,unstructCitation58,unstructDOI58,unstructCitation59,unstructDOI59,unstructCitation60,unstructDOI60,unstructCitation61,unstructDOI61,unstructCitation62,unstructDOI62,unstructCitation63,unstructDOI63,unstructCitation64,unstructDOI64,unstructCitation65,unstructDOI65,unstructCitation66,unstructDOI66,unstructCitation67,unstructDOI67,unstructCitation68,unstructDOI68,unstructCitation69,unstructDOI69,unstructCitation70,unstructDOI70,unstructCitation71,unstructDOI71,unstructCitation72,unstructDOI72,unstructCitation73,unstructDOI73,unstructCitation74,unstructDOI74,unstructCitation75,unstructDOI75,unstructCitation76,unstructDOI76,unstructCitation77,unstructDOI77,unstructCitation78,unstructDOI78,unstructCitation79,unstructDOI79,unstructCitation80,unstructDOI80,unstructCitation81,unstructDOI81,unstructCitation82,unstructDOI82,unstructCitation83,unstructDOI83,unstructCitation84,unstructDOI84,unstructCitation85,unstructDOI85,unstructCitation86,unstructDOI86,unstructCitation87,unstructDOI87,unstructCitation88,unstructDOI88,unstructCitation89,unstructDOI89,unstructCitation90,unstructDOI90,unstructCitation91,unstructDOI91,unstructCitation92,unstructDOI92,unstructCitation93,unstructDOI93,unstructCitation94,unstructDOI94,unstructCitation95,unstructDOI95,unstructCitation96,unstructDOI96,unstructCitation97,unstructDOI97,unstructCitation98,unstructDOI98,unstructCitation99,unstructDOI99,unstructCitation100,unstructDOI100,unstructCitation101,unstructDOI101,unstructCitation102,unstructDOI102,unstructCitation103,unstructDOI103,unstructCitation104,unstructDOI104,unstructCitation105,unstructDOI105,unstructCitation106,unstructDOI106,unstructCitation107,unstructDOI107,unstructCitation108,unstructDOI108,unstructCitation109,unstructDOI109,unstructCitation110,unstructDOI110,unstructCitation111,unstructDOI111,unstructCitation112,unstructDOI112,unstructCitation113,unstructDOI113,unstructCitation114,unstructDOI114,unstructCitation115,unstructDOI115,unstructCitation116,unstructDOI116,unstructCitation117,unstructDOI117,unstructCitation118,unstructDOI118,unstructCitation119,unstructDOI119,unstructCitation120,unstructDOI120,unstructCitation121,unstructDOI121,unstructCitation122,unstructDOI122,unstructCitation123,unstructDOI123,unstructCitation124,unstructDOI124,unstructCitation125,unstructDOI125,unstructCitation126,unstructDOI126,unstructCitation127,unstructDOI127,unstructCitation128,unstructDOI128,unstructCitation129,unstructDOI129,unstructCitation130,unstructDOI130,unstructCitation131,unstructDOI131,unstructCitation132,unstructDOI132,unstructCitation133,unstructDOI133,unstructCitation134,unstructDOI134,unstructCitation135,unstructDOI135,unstructCitation136,unstructDOI136,unstructCitation137,unstructDOI137,unstructCitation138,unstructDOI138,unstructCitation139,unstructDOI139,unstructCitation140,unstructDOI140,unstructCitation141,unstructDOI141,unstructCitation142,unstructDOI142,unstructCitation143,unstructDOI143,unstructCitation144,unstructDOI144,unstructCitation145,unstructDOI145,unstructCitation146,unstructDOI146,unstructCitation147,unstructDOI147,unstructCitation148,unstructDOI148,unstructCitation149,unstructDOI149,unstructCitation150,unstructDOI150,unstructCitation151,unstructDOI151,unstructCitation152,unstructDOI152,unstructCitation153,unstructDOI153,unstructCitation154,unstructDOI154,unstructCitation155,unstructDOI155,unstructCitation156,unstructDOI156,unstructCitation157,unstructDOI157,unstructCitation158,unstructDOI158,unstructCitation159,unstructDOI159,unstructCitation160,unstructDOI160,unstructCitation161,unstructDOI161,unstructCitation162,unstructDOI162,unstructCitation163,unstructDOI163,unstructCitation164,unstructDOI164,unstructCitation165,unstructDOI165,unstructCitation166,unstructDOI166,unstructCitation167,unstructDOI167,unstructCitation168,unstructDOI168,unstructCitation169,unstructDOI169,unstructCitation170,unstructDOI170,unstructCitation171,unstructDOI171,unstructCitation172,unstructDOI172,unstructCitation173,unstructDOI173,unstructCitation174,unstructDOI174,unstructCitation175,unstructDOI175,unstructCitation176,unstructDOI176,unstructCitation177,unstructDOI177,unstructCitation178,unstructDOI178,unstructCitation179,unstructDOI179,unstructCitation180,unstructDOI180,unstructCitation181,unstructDOI181,unstructCitation182,unstructDOI182,unstructCitation183,unstructDOI183,unstructCitation184,unstructDOI184,unstructCitation185,unstructDOI185,unstructCitation186,unstructDOI186,unstructCitation187,unstructDOI187,unstructCitation188,unstructDOI188,unstructCitation189,unstructDOI189,unstructCitation190,unstructDOI190,unstructCitation191,unstructDOI191,unstructCitation192,unstructDOI192,unstructCitation193,unstructDOI193,unstructCitation194,unstructDOI194,unstructCitation195,unstructDOI195,unstructCitation196,unstructDOI196,unstructCitation197,unstructDOI197,unstructCitation198,unstructDOI198,unstructCitation199,unstructDOI199,unstructCitation200,unstructDOI200
10.54718/PATG7870,"Van Peé, K. H. & Ligon, J. M. Biosynthesis of pyrrolnitrin and other phenylpyrrole derivatives by bacteria. Nat Prod Rep. 2000, 17157-64.",,"Hammer, P. E.; Hill, D. S.; Lam, S. T.; Van Pée, K.-H.; Ligon, J. M. Four genes from Pseudomonas fluorescens that encode the biosynthesis of pyrrolnitrin. Appl. Environ. Microbiol. 1997, 63 (6), 2147-2154.",,"Homma, Y.; Sato, Z.; Hirayama, F.; Konno, K.; Shirahama, H. and Suzui, T. Production of antibiotics by Pseudomonas cepacia as an agent for biological control of soil borne plant pathogens. Soil Biol. Biochem. 1989, 21, 723-728.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.54718/QEPJ7160,ANRC (Arkansas Natural Resources Commission). (2019). Arkansas groundwater protection and management report for 2018. www.anrc.arkansas.gov (accessed 23 November 2019).,,"Asci, S., Borisova, T., & Van Sickle, J. J. (2015). Role of economics in developing fertilizer best management practices. Agricultural Water Management, 152, 251–261.",10.1016/j.agwat.2015.01.021,"Bryant, C. J., Krutz, L. J., Falconer, L., Irby, J. T., Henry, C. G., Pringle, H. C., Henry, M. E., Roach, D. P., Pickelmann, D. M., Atwill, R. L., & Wood, C. W. (2017). Irrigation Water Management Practices that Reduce Water Requirements for Mid-South Furrow-Irrigated Soybean. Crop, Forage, and Turfgrass Management, 3(1), 0.",10.2134/cftm2017.04.0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
